,mass A,,,
t,θ,ω,α,
5.117,-36.7,22.5,383.6
5.133,-36.3,34.1,730.7
5.150,-35.6,48.0,682.1
5.167,-34.7,56.8,415.1
5.183,-33.7,61.7,388.3
5.200,-32.6,69.0,822.0
5.217,-31.4,88.4,813.6
5.233,-29.7,99.7,951.3
5.250,-28.1,114.8,925.8
5.267,-25.9,135.6,723.3
5.283,-23.5,137.4,758.8
5.300,-21.3,157.2,-814.3
5.317,-18.3,124.1,-864.1
5.333,-17.1,104.9,55.4
5.350,-14.8,143.2,2015.7
5.367,-12.4,165.4,1295.6
5.383,-9.3,190.4,-58.8
5.400,-6.0,166.7,-1184.5
5.417,-3.7,141.0,-614.0
5.433,-1.3,150.8,872.2
5.450,1.3,169.4,414.9
5.467,4.3,169.3,-290.5
5.483,6.9,154.5,-131.8
5.500,9.5,164.4,-266.0
5.517,12.4,152.7,-431.5
5.533,14.6,140.0,-764.5
5.550,17.1,135.9,-73.6
5.567,19.1,130.3,-587.2
5.583,21.4,123.5,49.1
5.600,23.2,123.6,-248.8
5.617,25.5,124.5,-413.0
5.633,27.4,103.8,-863.5
5.650,29.0,96.7,-417.7
5.667,30.6,90.6,-447.1
5.683,32.0,81.6,-261.9
5.700,33.3,80.5,-696.9
5.717,34.7,63.2,-937.8
5.733,35.4,42.6,-1094.2
5.750,36.1,31.6,-685.7
5.767,36.5,16.8,-699.4
5.783,36.7,9.6,-610.0
5.800,36.8,-3.0,-794.0
5.817,36.6,-17.9,-748.1
5.833,36.2,-28.0,-329.3
5.850,35.7,-29.4,-145.2
5.867,35.2,-31.0,-605.5
5.883,34.6,-49.1,-1032.7
5.900,33.6,-68.2,-1049.0
5.917,32.4,-82.2,-641.5
5.933,30.8,-91.4,-116.1
5.950,29.3,-85.7,-326.7
5.967,28.0,-97.9,-354.0
5.983,26.0,-105.1,-1382.1
6.000,24.5,-132.7,36.9
6.017,21.6,-123.3,-303.1
6.033,20.4,-117.5,-361.6
6.050,17.7,-155.1,-1381.6
6.067,15.2,-155.4,26.4
6.083,12.5,-156.7,-291.7
6.100,10.0,-162.0,133.0
6.117,7.1,-157.5,17.5
6.133,4.7,-154.7,-389.8
6.150,2.0,-174.3,-126.3
6.167,-1.1,-162.8,-41.5
6.183,-3.5,-165.4,87.1
6.200,-6.6,-171.6,27.9
6.217,-9.2,-156.3,698.1
6.233,-11.8,-151.9,96.5
6.250,-14.2,-150.6,-80.8
6.267,-16.8,-156.5,609.6
6.283,-19.5,-133.5,1084.1
6.300,-21.3,-112.7,577.8
6.317,-23.2,-118.4,18.0
6.333,-25.2,-113.9,-50.6
6.350,-27.0,-116.2,156.9
6.367,-29.1,-113.2,631.9
6.383,-30.8,-91.5,1154.4
6.400,-32.2,-75.1,473.3
6.417,-33.3,-74.4,445.7
6.433,-34.6,-65.0,786.1
6.450,-35.5,-43.8,666.5
6.467,-36.1,-42.6,699.4
6.483,-36.9,-25.8,666.6
6.500,-37.0,-12.6,669.6
6.517,-37.3,-10.4,325.6
6.533,-37.3,2.2,846.3
6.550,-37.2,15.4,794.9
6.567,-36.8,31.0,714.0
6.583,-36.2,38.5,287.9
6.600,-35.5,40.9,315.0
6.617,-34.8,47.4,569.5
6.633,-33.9,61.0,1304.1
6.650,-32.8,88.7,909.8
6.667,-31.0,98.2,313.1
6.683,-29.5,92.0,813.9
6.700,-27.9,124.7,987.5
6.717,-25.4,134.3,295.0
6.733,-23.4,124.5,-467.3
6.750,-21.2,124.5,192.0
6.767,-19.3,126.3,-427.6
6.783,-17.0,116.8,600.3
6.800,-15.4,134.3,1576.3
6.817,-12.5,181.0,480.7
6.834,-9.3,153.5,-670.8
6.850,-7.4,142.6,-2.3
6.867,-4.6,166.8,725.4
6.884,-1.9,162.4,316.5
6.900,0.8,175.2,224.1
6.917,4.0,176.2,-568.4
6.934,6.7,151.9,-364.3
6.950,9.0,160.1,403.8
6.967,12.0,173.2,-456.0
6.984,14.8,143.8,-1175.2
7.000,16.8,127.3,63.8
7.017,19.1,149.1,-108.6
7.034,21.8,131.6,-652.7
7.050,23.4,113.8,-535.5
7.067,25.6,123.3,71.0
7.084,27.6,113.3,-855.7
7.100,29.4,96.8,-995.5
7.117,30.8,78.0,-306.6
7.134,32.0,83.7,-91.6
7.150,33.6,81.3,-1100.8
7.167,34.7,44.5,-1194.8
7.184,35.1,35.5,-453.3
7.200,35.9,37.8,-337.2
7.217,36.3,20.3,-628.5
7.234,36.5,16.1,
7.250,36.9,,
